,predict_data
0,850.0
1,849.3034175115629
2,848.6125159332221
3,847.9314017937477
4,847.2609447906859
5,846.6016693301476
6,845.9538128552732
7,845.3174862024406
8,844.692459084032
9,844.0792362120868
10,843.4788591571083
11,842.8908260795615
12,842.3149608397867
13,841.7509508309946
14,841.1988246274655
15,840.6580201344105
16,840.1280212047471
17,839.608543005229
18,839.0993383718137
19,838.600393214571
20,838.1115474740186
21,837.6323444764441
22,837.1632401708904
23,836.7040178147458
24,836.254633242174
25,835.8151042471344
26,835.3849313851688
27,834.9638335521347
28,834.5514772407206
29,834.1475953803016
30,833.7519409088335
31,833.3643756397532
32,832.9847307923346
33,832.6127763011534
34,832.2488853585205
35,831.8930672478958
36,831.5450480191256
37,831.204611016614
38,830.8715527866265
39,830.5455213567836
40,830.2263411780756
41,829.9137453373362
42,829.6072540615705
43,829.3066612563481
44,829.0117545861376
45,828.7227049555598
46,828.4393644710276
47,828.1615684562051
48,827.8888999983546
49,827.6212618671683
50,827.3584938401026
51,827.100600421198
52,826.8474916184333
53,826.598739685005
54,826.3544783486856
55,826.1149587216123
56,825.8802957972739
57,825.6504789306774
58,825.4252165275462
59,825.2044537454952
60,824.98827047594
61,824.7766875090288
62,824.5695060330988
63,824.3666150598402
64,824.1679516578217
65,823.9733978125231
66,823.7829297252508
67,823.596698368417
68,823.4143394518429
69,823.2357960215644
70,823.0609494611838
71,822.8899433008004
72,822.7228320707472
73,822.5594762304942
74,822.399674949593
75,822.242948387504
76,822.0896753541301
77,821.9394198011407
78,821.7907769652844
79,821.6439441867711
80,821.4994329077251
81,821.3571614051631
82,821.2171222581254
83,821.079241931445
84,820.9435234291939
85,820.8103826072688
86,820.6813363753649
87,820.5551170909105
88,820.431660833882
89,820.3111899959498
90,820.1936244752266
91,820.0784466147794
92,819.9652399297889
93,819.8536318081271
94,819.7434238227582
95,819.6345226769415
96,819.5265929107227
97,819.4194329442194
98,819.313243947977
99,819.2081020582352
100,819.1040139158455
101,819.000644134167
102,818.8984119265162
103,818.7980601733957
104,818.6999588673544
105,818.6040828730797
106,818.5104397178987
107,818.4192185549291
108,818.3308430682696
109,818.2454851618621
110,818.162317305191
111,818.080586472435
112,818.0003085573303
113,817.9218198824346
114,817.8450998971977
115,817.7701377962582
116,817.6966630425227
117,817.6251086764555
118,817.5560383795508
119,817.4898102573477
120,817.426340100248
121,817.3657142097235
122,817.3081742270815
123,817.2537684601658
124,817.2024120437753
125,817.1535717778706
126,817.1071227272696
127,817.0628067330173
128,817.0202720289724
129,816.9795059391437
130,816.9399080241337
131,816.9009435169395
132,816.8619918303737
133,816.8229197734483
134,816.7838339397015
135,816.7447642816761
136,816.7058054657366
137,816.6664839512214
138,816.627124522794
139,816.5884305699092
140,816.5507489074066
141,816.5141206040624
142,816.4780625513617
143,816.4424250822975
144,816.4077260892972
145,816.3746365979022
146,816.3429001316134
147,816.3127356480242
148,816.2838204125093
149,816.2557406832716
150,816.2284587515477
151,816.2019141724231
152,816.1756607308514
153,816.14843634876
154,816.1201060958772
155,816.0911229801125
156,816.0619784324808
157,816.0336573379609
158,816.0075800808692
159,815.9840410389462
160,815.964052593655
161,815.9477924712595
162,815.935073834629
163,815.9253962103144
164,815.9182572735104
165,815.912735059631
166,815.9078273874154
167,815.9030089643734
168,815.8981154000112
169,815.8936078215102
170,815.8893535254042
171,815.8852055468151
172,815.881343125082
173,815.8775427790159
174,815.8738220900967
175,815.8702777403709
176,815.867001655554
177,815.8635320665912
178,815.8599800041264
179,815.8564087532686
180,815.8530209565088
181,815.8496109645658
182,815.8463285338947
183,815.8428721114046
184,815.8394110692474
185,815.8360707126584
186,815.8327414756621
187,815.8294896387486
188,815.8261426509372
189,815.8226033594258
190,815.8188465343404
191,815.8146740551717
192,815.8106266628662
193,815.8066722518317
194,815.8024840895496
195,815.7981765379956
196,815.7927610690284
197,815.7859716823694
198,815.7783684857056
199,815.769770241557
200,815.7598850004371
201,815.7495415003406
202,815.7387879249671
203,815.728487003135
204,815.7190575905507
205,815.710323579053
206,815.7021051448196
207,815.6945852151174
208,815.6876573634647
209,815.6814023155101
210,815.6759094291792
211,815.6713399845786
212,815.667816018053
213,815.6653388554331
214,815.6644830837693
215,815.6631019669137
216,815.6629601910133
217,815.6644647579502
218,815.6660227631969
219,815.6679009287598
220,815.6700589128571
221,815.6726468174722
222,815.6757714118249
223,815.6798904056503
224,815.6834271736172
225,815.6869036691728
226,815.691247237617
227,815.6963926894681
228,815.7028008116222
229,815.7104769486958
230,815.7195793487623
231,815.729936017128
232,815.7422962210104
233,815.7571917609109
234,815.7736408287
235,815.7914052958458
236,815.8101172420044
237,815.8297685065802
238,815.850327474799
239,815.8712168381616
240,815.891503051318
241,815.9105212996011
242,815.9282268723442
243,815.9445516503839
244,815.9594553456675
245,815.9739648933909
246,815.987883499111
247,816.0011561418095
248,816.0147298053784
249,816.0290035185392
250,816.0444384094322
251,816.0610976455582
252,816.0789978090269
253,816.0976574417061
254,816.1170037627533
255,816.1363039600033
256,816.1556945785077
257,816.175041368464
258,816.1942803214638
259,816.2133092204724
260,816.2323791875206
261,816.2515476111573
262,816.2707933691588
263,816.2906536041472
264,816.3113417985873
265,816.3330532430844
266,816.354964492178
267,816.3762916050038
268,816.3970971061592
269,816.418546965161
270,816.4409785584207
271,816.4645196033342
272,816.4893973953675
273,816.5149805510312
274,816.5410023229558
275,816.5672144417638
276,816.5942429481489
277,816.6203050569098
278,816.6454762713315
279,816.6697300829073
280,816.6924581610805
281,816.7155786434298
282,816.7387636170122
283,816.761347024779
284,816.78318969813
285,816.8048592768185
286,816.8268464920062
287,816.84913771235
288,816.8719881694471
289,816.8951429354124
290,816.9183900319988
291,816.9433516262666
292,816.969506874784
293,816.9962635342882
294,817.0231594810881
295,817.0489835095952
296,817.0732246717549
297,817.0963252369437
298,817.1186634207122
299,817.1393683616317
300,817.1591215147308
301,817.1777173242122
302,817.1957494397438
303,817.2144112381683
304,817.2340373302698
305,817.2541775087147
306,817.2743259204764
307,817.2953264113125
308,817.3170641222619
309,817.3399280384665
310,817.3646660995142
311,817.3898694221248
312,817.4160632324772
313,817.4439426781931
314,817.4719619984598
315,817.4994298629442
316,817.5245125605696
317,817.5465040867917
318,817.5641183679616
319,817.5763775124283
320,817.583092763294
321,817.5852731126398
322,817.5835792355182
323,817.5787340766781
324,817.5721982704677
325,817.564611936426
326,817.5583943241337
327,817.5530412931897
328,817.5489259648268
329,817.5456545865119
330,817.5448589369537
331,817.5470927175905
332,817.5517261868225
333,817.558075037036
334,817.5664187430558
335,817.5766209156553
336,817.5872960664577
337,817.5992371248825
338,817.6109821243134
339,817.6229521930983
340,817.635607040541
341,817.6482958339903
342,817.6607739699177
343,817.6727083257756
344,817.6841183549662
345,817.6951335046698
346,817.705689211918
347,817.7162903696121
348,817.7274351294137
349,817.7387972005416
350,817.7499509757694
351,817.7623233431793
352,817.7744948489768
353,817.7867334356021
354,817.799034086318
355,817.8115773017225
356,817.8196871410273
357,817.827400514241
358,817.8342297417678
359,817.8415938379202
360,817.8508840215508
361,817.8619164944627
