,predict_original_data
0,820.8048172947639
1,815.1708755781469
2,814.7583385945235
3,814.5568089595026
4,814.4085516406593
5,814.2971717637673
6,814.208845586434
7,814.1374802136404
8,814.0661302820048
9,814.0313154867772
10,814.0603834631614
11,814.0772052797741
12,814.0975640908209
13,814.1144604001767
14,814.1446406545338
15,814.1585999747226
16,814.1580736512377
17,814.154111228839
18,814.1483113344677
19,814.1520805096775
20,814.1581061869504
21,814.1513975952919
22,814.1771291987603
23,814.2021223636585
24,814.2347891861565
25,814.2781834901937
26,814.3064611488583
27,814.3300397334634
28,814.3460179814367
29,814.3573842197666
30,814.3648718069002
31,814.373677454818
32,814.3821332688278
33,814.387006233273
34,814.4182291695129
35,814.45797982729
36,814.492105809389
37,814.5231978935423
38,814.5516995172483
39,814.5699812944813
40,814.5865124213817
41,814.5965491411083
42,814.5891815490519
43,814.5776138004501
44,814.5613277458294
45,814.5592730572545
46,814.5556807289464
47,814.5495637299077
48,814.5281455636782
49,814.5069934390416
50,814.4828605138799
51,814.4638228948709
52,814.4451602829636
53,814.4098949470135
54,814.3856728690415
55,814.3784969950241
56,814.3818125046968
57,814.3894524674515
58,814.387358774114
59,814.3870774249986
60,814.3952902677364
61,814.4091221303786
62,814.4176137125335
63,814.4249573701678
64,814.4334449589151
65,814.4402593928909
66,814.4499934489057
67,814.4713618835672
68,814.4787525397111
69,814.4871679379174
70,814.4934680025374
71,814.5106414420106
72,814.5343817981486
73,814.5550400580953
74,814.5694121854324
75,814.5633468451413
76,814.5792967188088
77,814.576897704658
78,814.5072780083224
79,814.4491380396229
80,814.4183802344741
81,814.3858577796254
82,814.3552040532768
83,814.3231059241059
84,814.2933168188849
85,814.2864823329431
86,814.358071012073
87,814.3703721526473
88,814.3823042394837
89,814.4081189372736
90,814.4329139597885
91,814.4347314528675
92,814.4181123652626
93,814.3848338466913
94,814.3432325396801
95,814.2983665319227
96,814.2380343660072
97,814.1685945855594
98,814.1099831320992
99,814.0561494608901
100,814.0036949387506
101,813.9355248319222
102,813.8890337516273
103,813.880824270489
104,813.8929948713321
105,813.9061591536146
106,813.9219251140316
107,813.9493815694153
108,814.0004442219545
109,814.0629477478952
110,814.0870923283002
111,814.0757756673944
112,814.0666907172024
113,814.0758748125453
114,814.0858206205841
115,814.0969948502234
116,814.0964001094825
117,814.1189447391661
118,814.1715938312193
119,814.2446322693963
120,814.3163024023664
121,814.3950455740151
122,814.4887150776239
123,814.5878858812998
124,814.6859476406403
125,814.7603987485414
126,814.8311192478242
127,814.8913230146571
128,814.9360715307731
129,814.9819675375355
130,814.9996101886511
131,814.9916826644218
132,814.9533591886494
133,814.9083889841088
134,814.8686280861028
135,814.8303510384397
136,814.7968234847058
137,814.739729739984
138,814.6985125298539
139,814.6924268785493
140,814.7043474447813
141,814.7193337402017
142,814.7112179690267
143,814.6961890981482
144,814.7074754322825
145,814.7532515195533
146,814.7878132834612
147,814.8346759521502
148,814.8669738722726
149,814.8798339506244
150,814.8916440970818
151,814.9012297953225
152,814.8892420938414
153,814.8144416262753
