,true_data
0,850.0
1,849.99928
2,849.9985600000001
3,849.9978400000001
4,849.9971200000001
5,849.9964000000002
6,849.9956800000002
7,849.9949600000003
8,849.9942400000003
9,849.9935200000004
10,849.9928000000004
11,849.9920800000004
12,849.9913600000006
13,849.9906400000006
14,849.9899200000007
15,849.9892000000007
16,849.9884800000007
17,849.9877600000008
18,849.9870400000008
19,849.9863200000009
20,849.9856000000009
21,849.9848800000009
22,849.984160000001
23,849.983440000001
24,849.9827200000011
25,849.9820000000011
26,849.9812800000012
27,849.9805600000012
28,849.9798400000012
29,849.9791200000013
30,849.9784000000013
31,849.9776800000014
32,849.9769600000014
33,849.9762400000014
34,849.9755200000016
35,849.9748000000016
36,849.9740800000017
37,849.9733600000017
38,849.9726400000018
39,849.9719200000018
40,849.9712000000018
41,849.9704800000019
42,849.9697600000019
43,849.969040000002
44,849.968320000002
45,849.967600000002
46,849.9668800000021
47,849.9661600000021
48,849.9654400000022
49,849.9647200000022
50,849.9640000000023
51,849.9632800000023
52,849.9625600000023
53,849.9618400000024
54,849.9611200000024
55,849.9604000000026
56,849.9596800000025
57,849.9589600000025
58,849.9582400000027
59,849.9575200000027
60,849.9568000000028
61,849.9560800000028
62,849.9553600000028
63,849.9546400000029
64,849.9539200000029
65,849.953200000003
66,849.952480000003
67,849.9517600000031
68,849.9510400000031
69,849.9503200000031
70,849.9496000000032
71,849.9488800000032
72,849.9481600000033
73,849.9474400000033
74,849.9467200000033
75,849.9460000000034
76,849.9452800000034
77,849.9445600000035
78,849.9438400000035
79,849.9431200000037
80,849.9424000000037
81,849.9416800000037
82,849.9409600000038
83,849.9402400000038
84,849.9395200000039
85,849.9388000000039
86,849.9380800000039
87,849.937360000004
88,849.936640000004
89,849.9359200000041
90,849.9352000000041
91,849.9344800000041
92,849.9337600000042
93,849.9330400000042
94,849.9323200000043
95,849.9316000000043
96,849.9308800000044
97,849.9301600000044
98,849.9294400000044
99,849.9287200000045
100,849.9280000000045
101,849.9272800000047
